Cities,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,returncode,Max_Temp
yendi,gh,9.44,-0.01,88.05,49,45,9.62,200,88.05
petropavl,kz,54.88,69.16,44.82,60,2,12.19,200,44.82
kapaa,us,22.08,-159.32,79.09,61,90,11.41,200,80.6
opuwo,na,-18.06,13.84,61.63,38,0,2.53,200,61.63
fresnillo,mx,23.17,-102.88,81.88,5,40,11.86,200,81.88
kulevcha,ua,46.03,29.94,52.3,73,99,17.2,200,52.3
belyy,ru,55.84,32.94,32.23,82,40,4.21,200,32.23
tasiilaq,gl,65.61,-37.64,35.6,55,64,21.92,200,35.6
luderitz,na,-26.65,15.16,55.4,93,0,2.24,200,55.4
barrow,us,71.29,-156.79,6.8,84,1,8.05,200,6.8
kununurra,au,-15.77,128.73,71.6,78,0,9.84,200,71.6
san patricio,mx,19.22,-104.7,77,78,40,9.17,200,77
maldonado,uy,-34.67,-54.92,63.45,82,75,3.36,200,64.4
caravelas,br,-17.71,-39.25,76.44,85,45,17.31,200,76.44
castro,cl,-42.47,-73.77,55.99,94,100,1.99,200,55.99
tiksi,ru,71.69,128.87,34.81,95,100,17.07,200,34.81
grindavik,is,63.84,-22.43,42.8,81,40,9.17,200,42.8
terrace bay,ca,48.78,-87.1,38.34,78,61,10.09,200,38.34
arraial do cabo,br,-22.97,-42.03,75.88,80,0,17.16,200,75.88
dingzhou,cn,38.51,115,44.6,70,79,2.24,200,44.6
zuwarah,ly,32.93,12.08,69.67,62,45,10.36,200,69.67
cape town,za,-33.93,18.42,59.76,93,0,2.24,200,63
katsuura,jp,35.13,140.3,65.3,45,75,20.8,200,66.2
jamestown,sh,-15.94,-5.72,69.48,77,28,17.56,200,69.48
mount isa,au,-20.73,139.5,80.6,32,0,8.05,200,80.6
rikitea,pf,-23.12,-134.97,76.17,76,0,15.95,200,76.17
kruisfontein,za,-34,24.73,59.52,83,40,12.26,200,59.52
rikitea,pf,-23.12,-134.97,76.17,76,0,15.95,200,76.17
bluff,nz,-46.6,168.33,54,63,100,8.99,200,54
vinh,vn,18.67,105.67,68.32,78,99,6.02,200,68.32
castro,cl,-42.47,-73.77,55.99,94,100,1.99,200,55.99
kawalu,id,-7.38,108.21,75.69,78,72,0.92,200,75.69
langsa,id,4.47,97.97,77.2,84,100,2.3,200,77.2
bredasdorp,za,-34.53,20.04,62.6,82,0,10.29,200,62.6
kiama,au,-34.68,150.87,69.6,57,63,8.01,200,71.01
port alfred,za,-33.59,26.89,60.01,91,87,3,200,60.01
challans,fr,46.84,-1.87,57,90,1,7.72,200,57
puerto ayora,ec,-0.74,-90.35,81.55,70,20,20.8,200,84.2
pervomayskoye,ru,43.92,46.71,44.22,95,69,2.98,200,44.22
vaini,to,-21.2,-175.2,77,94,90,6.93,200,77
puerto ayora,ec,-0.74,-90.35,81.55,70,20,20.8,200,84.2
marica,br,-22.92,-42.82,74.71,83,3,8.05,200,75.2
tiksi,ru,71.69,128.87,34.81,95,100,17.07,200,34.81
punta arenas,cl,-53.15,-70.92,39,70,5,3,200,39
barrow,us,71.29,-156.79,6.8,84,1,8.05,200,6.8
cockburn town,tc,21.46,-71.14,79.61,81,0,19.39,200,79.61
